Precinct,FOR THE INCOME TAX,AGAINST THE INCOME TAX,Total Votes Cast,Overvotes,Undervotes,Contest Total
JAKTWP-A1,98,99,197,0,1,198
JEFTWP-A2,13,27,40,0,0,40
JNLB-A1,77,80,157,0,3,160
JNLB-A2,0,1,1,0,0,1
JNLB-B,139,101,240,0,1,241
PERTWP-A2,24,22,46,0,3,49
PERTWP-B2,8,11,19,0,0,19
PERTWP-C,141,120,261,0,4,265
PNLB1,67,54,121,0,1,122
PNLB2,0,0,0,0,0,0
TR 3-B2,15,9,24,0,0,24
