Precinct,Sam Dorf,Sarena Kelley,Leigh S. Turben,Total Votes Cast,Overvotes,Undervotes,Contest Total
OAK-A,221,194,237,652,0,98,750
OAK-B,237,238,284,759,0,109,868
OAK-C,219,167,216,602,0,100,702
OAK-D,218,179,199,596,0,108,704
OAK-E,248,164,199,611,0,123,734
OAK-F,314,238,303,855,0,109,964
OAK-G,203,221,243,667,0,103,770
OAK-H,154,187,221,562,0,66,628
