Precinct,Sheila Back,Vera Powell,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 14-A3,5,3,8,0,8,16
DAY 14-C3,0,0,0,0,0,0
JEFTWP-A1,223,158,381,0,339,720
JEFTWP-A2,15,14,29,0,51,80
JEFTWP-A3,5,3,8,0,8,16
JEFTWP-B1,37,29,66,0,50,116
JEFTWP-B2,36,33,69,0,39,108
JEFTWP-B3,6,7,13,0,9,22
JEFTWP-B4,33,20,53,0,37,90
JEFTWP-C1,164,150,314,0,384,698
JEFTWP-C2,0,0,0,0,0,0
JEFTWP-D,220,141,361,0,197,558
