Precinct,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,131,184,315,0,55,370
CTN 1-A2,0,2,2,0,0,2
CTN 1-B1,30,33,63,0,6,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,130,133,263,0,48,311
CTN 1-C1,207,183,390,0,52,442
CTN 1-C2,10,9,19,0,2,21
CTN 1-D1,119,85,204,0,35,239
CTN 1-D2,13,9,22,0,2,24
CTN 2-A,102,104,206,0,35,241
CTN 2-B,181,130,311,0,36,347
CTN 2-C1,173,139,312,0,38,350
CTN 2-C2,18,15,33,0,6,39
CTN 3-A,183,170,353,0,47,400
CTN 3-B,168,138,306,0,50,356
CTN 3-C,123,116,239,0,33,272
