Precinct,Johnston Kevin,No Valid Petition Filed,Total Votes Cast,Contest Total
CLATWP-C,76,0,76,324
CLATWP-C,,0,0,162
GERTWP-A,43,0,43,142
GERTWP-A,,0,0,71
JAKTWP-B,0,0,0,0
JAKTWP-B,,0,0,0
