Precinct,Pete Williams,Total Votes Cast,Contest Total
PM,143,143,201
RV-A,363,363,485
RV-B,193,193,291
RV-C,269,269,393
RV-D,333,333,462
RV-E,211,211,324
RV-F,272,272,373
RV-G,242,242,346
RV-H,125,125,174
RV-I,236,236,299
RV-J,237,237,334
RV-K,312,312,487
RV-L,167,167,227
RV-M,312,312,409
RV-N,187,187,257
RV-O,311,311,427
RV-P,342,342,472
