Precinct,Kyle Groh,Steven A. Woolf,Total Votes Cast,Contest Total
BRK-A,175,195,370,598
BRK-B,126,174,300,464
BRK-C,222,188,410,619
CLATWP-A,204,160,364,434
CLATWP-B,192,146,338,443
CLATWP-C,281,234,515,646
CTN 1-C,9,9,18,25
PHBG,83,71,154,178
