Precinct,Shane Sullivan,Total Votes Cast,Contest Total
KT 3-A,338,338,582
KT 3-B,348,348,593
KT 3-C,394,394,609
KT 3-D,289,289,454
KT 3-E,361,361,580
KT 3-F,278,278,457
KT 3-G,325,325,489
KT 3-H,336,336,554
KT 3-I,338,338,547
KT 3-J,323,323,537
KT 3-K,433,433,680
