Precinct,Robert I. Bennett,John Bruns,Lynne Thomas-Roth,Total Votes Cast,Contest Total
UN-A,147,142,155,444,915
UN-B,217,252,252,721,1506
UN-C,255,252,255,762,1560
UN-D,274,298,300,872,1770
UN-E,225,228,261,714,1659
