Precinct,Duane Heuker,Total Votes Cast,Contest Total
BRK-A,332,332,598
BRK-B,265,265,464
BRK-C,350,350,619
CLATWP-A,285,285,434
CLATWP-B,267,267,443
CLATWP-C,403,403,646
CTN 1-C,13,13,25
PHBG,106,106,178
