Precinct,Mark B. Brownfield,Total Votes Cast,Contest Total
BRK-A,324,324,598
BRK-B,255,255,464
BRK-C,342,342,619
CLATWP-A,247,247,434
CLATWP-B,270,270,443
CLATWP-C,365,365,646
CTN 1-C,15,15,25
PHBG,103,103,178
