Precinct,Mark A. Heistand,Total Votes Cast,Contest Total
GERTWP-A,435,435,647
GERTWP-B,425,425,661
GTN-A,384,384,592
GTN-B,269,269,444
GTN-C,413,413,580
GTN-D,332,332,511
