Precinct,Yes,No,Total Votes Cast,Contest Total
MOR 1-A,103,101,204,243
MOR 2-A,246,205,451,517
MOR 3-A,123,135,258,299
MOR 4-A,117,114,231,263
MOR 4-B,95,70,165,199
