Precinct,James M. Dillon,Tina Fiore,Libby Harner-Fickert,Jacinda Fugate,Total Votes Cast,Contest Total
DAY 3-B,59,76,35,63,233,435
DAY 3-D,95,148,77,116,436,870
DAY 3-F,1,2,0,0,3,6
DAY 3-G,46,67,36,35,184,408
HARTWP-A,104,134,56,74,368,678
HARTWP-B,114,191,79,104,488,891
HARTWP-C,124,179,85,87,475,867
HARTWP-E,89,133,59,58,339,567
HARTWP-N,144,176,90,128,538,885
