Precinct,Stephen C. Crane,JD Fowler,Damian Kristof,Dennis Piper,Total Votes Cast,Contest Total
BRK-A,203,268,166,238,875,1794
BRK-B,146,244,123,201,714,1392
BRK-C,233,338,175,275,1021,1857
BRK-D,200,316,132,225,873,1584
