Precinct,Ericka Boggs,Tonya Lankheit,Ron Moore,David H. Peterson,Total Votes Cast,Contest Total
JAKTWP-A,98,132,193,80,503,728
JEFTWP-A,19,14,26,12,71,110
JNLB-A,80,118,149,58,405,642
JNLB-B,169,160,214,100,643,936
PERTWP-A,11,25,24,12,72,128
PERTWP-B,5,14,23,10,52,84
PERTWP-C,135,141,273,108,657,998
PNLB,118,110,136,75,439,628
TR 3-B,27,20,38,21,106,176
