Precinct,Gregory A. Brush,Total Votes Cast,Contest Total
BTLTWP-A,389,389,574
BTLTWP-B,369,369,547
BTLTWP-C,458,458,670
BTLTWP-D,426,426,626
BTLTWP-E,316,316,464
BTLTWP-F,372,372,529
BTLTWP-G,224,224,322
UN-C,3,3,4
