Precinct,Debbie DiLorenzo,Vivian Johnson,Drew Moore,Nathan Reiter,Total Votes Cast,Contest Total
OAK-A,340,187,239,283,1049,1286
OAK-B,368,176,265,312,1121,1296
OAK-C,248,162,171,288,869,1044
OAK-D,242,144,173,284,843,1092
OAK-E,269,152,171,341,933,1178
OAK-F,390,166,216,396,1168,1370
OAK-G,327,127,189,298,941,1126
OAK-H,245,144,158,197,744,892
