Precinct,Tom Franz,Cathy McGrail,Total Votes Cast,Contest Total
ENG-A,265,273,538,615
ENG-B,220,249,469,544
ENG-C,191,210,401,452
ENG-D,279,294,573,624
ENG-E,219,299,518,605
ENG-F,259,210,469,524
ENG-G,253,268,521,591
ENG-H,211,214,425,456
ENG-I,182,184,366,408
ENG-J,175,252,427,485
