Precinct,Brooks A. Compton,Total Votes Cast,Contest Total
CV-A,239,239,364
CV-B,471,471,649
CV-C,296,296,415
CV-D,275,275,385
CV-E,421,421,598
CV-F,493,493,702
CV-G,498,498,727
CV-H,552,552,773
CV-I,603,603,801
CV-J,492,492,686
CV-K,499,499,715
CV-L,554,554,766
CV-M,447,447,646
CV-N,394,394,550
CV-O,615,615,809
CV-P,470,470,679
CV-Q,415,415,589
CV-R,401,401,585
