Precinct,Brian P. Looney,Thomas F. McMasters,Total Votes Cast,Contest Total
HUB 6-A,191,117,308,424
HUB 6-B,348,177,525,617
HUB 6-C,267,194,461,557
HUB 6-D,211,165,376,483
