Precinct,Lou Jr. Potter,Total Votes Cast,Contest Total
GERTWP-A,454,454,647
GERTWP-B,448,448,661
GTN-A,369,369,592
GTN-B,264,264,444
GTN-C,400,400,580
GTN-D,318,318,511
