Precinct,Danielle Bradley,Total Votes Cast,Contest Total
DAY 3-G,0,0,0
DAY 16-C,0,0,0
DAY 18-B,3,3,5
HARTWP-A,152,152,226
HARTWP-B,184,184,297
HARTWP-C,196,196,289
HARTWP-D,365,365,538
HARTWP-E,123,123,189
HARTWP-F,141,141,204
HARTWP-G,254,254,327
HARTWP-H,236,236,309
HARTWP-I,197,197,274
HARTWP-J,244,244,340
HARTWP-K,212,212,286
HARTWP-L,371,371,548
HARTWP-M,397,397,531
HARTWP-N,196,196,295
HARTWP-O,332,332,473
