Precinct,Bob Scott,Total Votes Cast,Contest Total
KT 2-A,304,304,526
KT 2-B,325,325,537
KT 2-C,356,356,549
KT 2-D,332,332,546
KT 2-E,390,390,590
KT 2-F,272,272,431
KT 2-G,457,457,739
KT 2-H,361,361,606
KT 2-I,284,284,459
KT 2-J,209,209,345
