Precinct,Richard R. Barnhart,Total Votes Cast,Contest Total
WCR-A,280,280,427
WCR-B,308,308,476
WCR-C,345,345,477
WCR-D,342,342,509
WCR-E,184,184,271
WCR-F,212,212,323
WCR-G,315,315,473
WCR-H,265,265,416
WCR-I,165,165,246
