Precinct,REP Michelle L. Collins,REP Kelli L. Webb,Total Votes Cast,Contest Total
MBG 1-A,389,173,562,639
MBG 1-B,309,177,486,539
MBG 1-C,347,153,500,546
MBG 2-A,216,120,336,392
MBG 2-B,244,173,417,467
MBG 2-C,304,200,504,566
MBG 3-A,227,90,317,376
MBG 3-B,317,173,490,574
MBG 3-C,229,104,333,402
MBG 3-D,281,220,501,571
MBG 4-A,298,163,461,508
MBG 4-B,289,139,428,476
MBG 4-C,231,127,358,412
MBG 4-D,450,215,665,751
