Precinct,Richard Herbst,Total Votes Cast,Contest Total
VD-A,306,306,444
VD-B,219,219,295
VD-C,392,392,554
VD-D,387,387,500
VD-E,259,259,375
VD-F,488,488,648
VD-G,365,365,505
VD-H,523,523,667
VD-I,362,362,526
VD-J,476,476,660
VD-K,421,421,589
