Precinct,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total
WASTWP-F,691,438,0,0.6339
WASTWP-G,1213,753,0,0.6208
WASTWP-H,942,634,0,0.673
WASTWP-I,930,449,0,0.4828
WASTWP-J,1201,574,0,0.4779
WASTWP-K,978,568,0,0.5808
WASTWP-L,1021,499,1,0.4887
WASTWP-M,1103,690,0,0.6256
WASTWP-N,1091,568,0,0.5206
WASTWP-O,1066,559,0,0.5244
WASTWP-P,1134,654,0,0.5767
WASTWP-Q,1327,638,0,0.4808
WASTWP-R,835,500,0,0.5988
WASTWP-S,859,531,0,0.6182
WASTWP-T,1020,538,0,0.5275
WASTWP-U,1024,667,0,0.6514
WASTWP-V,961,617,0,0.642
WASTWP-W,806,390,0,0.4839
WASTWP-X,858,526,0,0.6131
WASTWP-Y,1251,693,0,0.554
WASTWP-Z,880,598,0,0.6795
WASTWP-AA,970,622,0,0.6412
WASTWP-BB,800,416,0,0.52
WASTWP-CC,1182,761,0,0.6438
WCR-A,1007,427,0,0.424
WCR-B,986,476,0,0.4828
WCR-C,963,477,1,0.4953
WCR-D,908,509,0,0.5606
WCR-E,837,271,0,0.3238
WCR-F,882,323,0,0.3662
WCR-G,954,473,0,0.4958
WCR-H,948,416,0,0.4388
WCR-I,964,246,0,0.2552
