Precinct,Craig A. Jones,Total Votes Cast,Contest Total
DAY 3-G,0,0,0
DAY 16-C,0,0,0
DAY 18-B,3,3,5
HARTWP-A,133,133,226
HARTWP-B,166,166,297
HARTWP-C,176,176,289
HARTWP-D,321,321,538
HARTWP-E,112,112,189
HARTWP-F,139,139,204
HARTWP-G,227,227,327
HARTWP-H,205,205,309
HARTWP-I,167,167,274
HARTWP-J,225,225,340
HARTWP-K,169,169,286
HARTWP-L,374,374,548
HARTWP-M,374,374,531
HARTWP-N,182,182,295
HARTWP-O,303,303,473
