Precinct,Jerry Browning,Susan Hieber,Pat McCoart,Wendy Landon,R. Ellen Slone-Farthing,Stephanie Webb,Total Votes Cast,Contest Total
DAY 3-J,114,80,77,102,36,96,505,942
DAY 3-K,26,21,13,32,9,27,128,261
RV-K,125,118,126,119,79,166,733,1461
