Precinct,Lisa M. Duvall,Joe Overholser,Total Votes Cast,Contest Total
KT 1-A,207,119,326,434
KT 1-B,157,152,309,404
KT 1-C,234,217,451,579
KT 1-D,264,167,431,533
KT 1-E,226,114,340,438
KT 1-F,210,143,353,441
KT 1-G,216,153,369,482
KT 1-H,269,199,468,603
KT 1-I,195,201,396,482
