Precinct,LaSue J. Juniel,Bryan N. Suddith,Total Votes Cast,Contest Total
KT 4-A,184,314,498,720
KT 4-B,171,274,445,680
KT 4-C,115,180,295,419
KT 4-D,126,278,404,581
KT 4-E,170,217,387,542
KT 4-F,149,279,428,602
KT 4-G,192,388,580,806
KT 4-H,102,200,302,411
KT 4-I,210,227,437,614
KT 4-J,138,232,370,520
KT 4-K,161,257,418,595
