Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Contest Total
GERTWP-A,315,309,624,647
GERTWP-B,297,331,628,661
GTN-A,297,261,558,592
GTN-B,205,215,420,444
GTN-C,321,236,557,580
GTN-D,226,265,491,511
