Precinct,Yes,No,Total Votes Cast,Contest Total
MBG 1-A,311,189,500,639
MBG 1-B,245,209,454,539
MBG 1-C,294,150,444,546
MBG 2-A,170,119,289,392
MBG 2-B,193,188,381,467
MBG 2-C,264,192,456,566
MBG 3-A,169,130,299,376
MBG 3-B,276,160,436,574
MBG 3-C,206,94,300,402
MBG 3-D,265,203,468,571
MBG 4-A,236,191,427,508
MBG 4-B,241,133,374,476
MBG 4-C,205,120,325,412
MBG 4-D,353,220,573,751
