Precinct,Yes,No,Total Votes Cast,Contest Total
MOR 1-A,114,75,189,243
MOR 2-A,281,141,422,517
MOR 3-A,144,88,232,299
MOR 4-A,138,76,214,263
MOR 4-B,111,41,152,199
