Precinct,Brad Daugherty,Steve P. Henne,Fred B. Huelsman,Total Votes Cast,Contest Total
ENG-A,329,278,241,848,1845
ENG-B,252,248,199,699,1632
ENG-C,245,246,200,691,1356
ENG-D,339,334,267,940,1872
ENG-E,327,285,242,854,1815
ENG-F,268,287,235,790,1572
ENG-G,307,316,243,866,1773
ENG-H,263,271,205,739,1368
ENG-I,207,238,172,617,1224
ENG-J,250,229,169,648,1455
