Precinct,Steven Byington,William D. Duncan,Jackson Healy,Total Votes Cast,Contest Total
OAK-A,336,372,341,1049,1929
OAK-B,331,373,343,1047,1944
OAK-C,253,274,266,793,1566
OAK-D,251,261,268,780,1638
OAK-E,252,281,283,816,1767
OAK-F,345,378,378,1101,2055
OAK-G,302,329,314,945,1689
OAK-H,223,273,222,718,1338
