Precinct,Michelle Cooper,No Valid Petition Filed,Total Votes Cast,Contest Total
DAY 14-A,71,0,71,216
DAY 14-C,20,0,20,78
JEFTWP-A,320,0,320,1020
JEFTWP-B,112,0,112,292
JEFTWP-C,251,0,251,880
JEFTWP-D,347,0,347,850
MOR 2-A,52,0,52,222
WCR-A,6,0,6,36
