Precinct,FOR THE INCOME TAX,AGAINST THE INCOME TAX,Total Votes Cast,Contest Total
CTN 1-A,145,335,480,497
CTN 1-B,186,318,504,514
CTN 1-C,243,398,641,652
CTN 1-D,176,232,408,421
CTN 2-A,201,241,442,462
CTN 2-B,266,329,595,608
CTN 2-C,276,365,641,663
CTN 3-A,268,361,629,658
CTN 3-B,229,337,566,583
CTN 3-C,187,287,474,492
