Precinct,Shaunece Gillespie,Renee McDaniel,Rodney Taylor,Total Votes Cast,Contest Total
DAY 14-A,62,43,33,138,216
DAY 14-C,16,11,8,35,78
JEFTWP-A,200,215,155,570,1020
JEFTWP-B,82,88,30,200,292
JEFTWP-C,140,199,116,455,880
JEFTWP-D,295,242,102,639,850
MOR 2-A,24,38,31,93,222
WCR-A,2,5,4,11,36
