Precinct,Andy R. Brown,Jesse Maxfield,Total Votes Cast,Contest Total
PM,104,99,203,402
RV-A,247,284,531,970
RV-B,130,133,263,582
RV-C,180,197,377,786
RV-D,237,199,436,924
RV-E,143,154,297,648
RV-F,192,214,406,746
RV-G,161,181,342,692
RV-H,72,92,164,348
RV-I,148,150,298,598
RV-J,151,174,325,668
RV-K,226,246,472,974
RV-L,105,118,223,454
RV-M,207,241,448,818
RV-N,122,139,261,514
RV-O,207,196,403,854
RV-P,239,260,499,944
