Precinct,Yes,No,Total Votes Cast,Contest Total
BRK-A,262,330,592,598
BRK-B,230,228,458,464
BRK-C,325,285,610,619
BRK-D,248,274,522,528
BTLTWP-A,281,282,563,574
BTLTWP-B,269,274,543,547
BTLTWP-C,324,336,660,670
BTLTWP-D,317,299,616,626
BTLTWP-E,198,253,451,464
BTLTWP-F,224,298,522,529
BTLTWP-G,185,132,317,322
CLATWP-A,194,235,429,434
CLATWP-B,195,244,439,443
CLATWP-C,295,343,638,646
CTN 1-A,201,287,488,497
CTN 1-B,259,249,508,514
CTN 1-C,353,291,644,652
CTN 1-D,251,168,419,421
CTN 2-A,279,177,456,462
CTN 2-B,346,253,599,608
CTN 2-C,405,251,656,663
CTN 3-A,380,271,651,658
CTN 3-B,371,209,580,583
CTN 3-C,332,157,489,492
CV-A,264,91,355,364
CV-B,375,267,642,649
CV-C,242,169,411,415
CV-D,245,137,382,385
CV-E,283,305,588,598
CV-F,334,359,693,702
CV-G,374,346,720,727
CV-H,336,416,752,773
CV-I,328,460,788,801
CV-J,326,354,680,686
CV-K,351,355,706,715
CV-L,387,367,754,766
CV-M,307,330,637,646
CV-N,204,330,534,550
CV-O,364,432,796,809
CV-P,319,346,665,679
CV-Q,339,243,582,589
CV-R,383,196,579,585
DAY 1-A,82,58,140,142
DAY 1-B,409,87,496,498
DAY 1-C,248,68,316,320
DAY 1-D,203,29,232,233
DAY 1-E,430,66,496,498
DAY 2-A,172,66,238,240
DAY 2-B,281,77,358,363
DAY 2-C,219,85,304,306
DAY 2-D,140,35,175,180
DAY 3-A,100,41,141,144
DAY 3-B,120,87,207,210
DAY 3-C,311,265,576,583
DAY 3-D,196,92,288,290
DAY 3-E,116,46,162,163
DAY 3-F,334,160,494,501
DAY 3-G,164,78,242,247
DAY 3-H,168,89,257,258
DAY 3-I,315,221,536,543
DAY 3-J,254,149,403,409
DAY 3-K,355,235,590,594
DAY 3-L,319,236,555,557
DAY 4-A,221,93,314,318
DAY 4-B,170,62,232,236
DAY 4-C,214,67,281,281
DAY 5-A,175,35,210,214
DAY 5-B,183,59,242,244
DAY 5-C,134,35,169,174
DAY 5-D,188,42,230,231
DAY 6-A,200,62,262,266
DAY 6-B,195,38,233,240
DAY 6-C,161,38,199,204
DAY 7-A,157,45,202,205
DAY 7-B,164,40,204,208
DAY 8-A,313,118,431,435
DAY 8-B,333,108,441,442
DAY 8-C,348,98,446,449
DAY 8-D,326,78,404,410
DAY 9-A,415,209,624,627
DAY 9-B,406,120,526,530
DAY 9-C,453,156,609,618
DAY 9-D,268,127,395,398
DAY 10-A,315,94,409,411
DAY 10-B,228,106,334,338
DAY 10-C,244,77,321,324
DAY 10-D,266,108,374,377
DAY 10-E,253,84,337,340
DAY 11-A,193,66,259,259
DAY 11-B,158,56,214,215
DAY 11-C,195,45,240,241
DAY 11-D,233,131,364,367
DAY 11-E,222,73,295,298
DAY 12-A,308,103,411,415
DAY 12-B,286,46,332,335
DAY 12-C,222,89,311,312
DAY 12-D,158,40,198,202
DAY 13-A,170,56,226,229
DAY 13-B,91,11,102,105
DAY 14-A,208,75,283,290
DAY 14-B,79,27,106,109
DAY 14-C,124,56,180,182
DAY 14-D,243,56,299,307
DAY 15-A,207,51,258,263
DAY 15-B,242,48,290,294
DAY 15-C,160,43,203,205
DAY 15-D,148,73,221,226
DAY 16-A,205,72,277,279
DAY 16-B,153,24,177,179
DAY 16-C,150,49,199,200
DAY 16-D,323,123,446,450
DAY 16-E,212,49,261,263
DAY 17-A,158,40,198,199
DAY 17-B,206,45,251,253
DAY 17-C,215,62,277,282
DAY 17-D,141,39,180,183
DAY 18-A,147,53,200,202
DAY 18-B,268,89,357,362
DAY 18-C,171,34,205,209
DAY 18-D,159,42,201,202
DAY 19-A,81,14,95,97
DAY 19-B,202,47,249,254
DAY 19-C,173,50,223,225
DAY 20-A,374,177,551,553
DAY 20-B,423,139,562,564
DAY 20-C,242,137,379,380
DAY 20-D,259,120,379,385
DAY 21-A,152,35,187,192
DAY 21-B,160,26,186,189
DAY 21-C,230,63,293,297
DAY 22-A,344,93,437,448
DAY 22-B,271,101,372,373
DAY 22-C,362,94,456,471
DAY 23-A,327,61,388,394
ENG-A,334,272,606,615
ENG-B,294,243,537,544
ENG-C,289,160,449,452
ENG-D,334,286,620,624
ENG-E,337,255,592,605
ENG-F,277,242,519,524
ENG-G,291,290,581,591
ENG-H,240,209,449,456
ENG-I,204,197,401,408
ENG-J,291,189,480,485
FARM,205,192,397,406
GERTWP-A,299,338,637,647
GERTWP-B,325,319,644,661
GTN-A,326,255,581,592
GTN-B,243,192,435,444
GTN-C,269,304,573,580
GTN-D,306,201,507,511
HARTWP-A,154,69,223,226
HARTWP-B,199,96,295,297
HARTWP-C,202,82,284,289
HARTWP-D,360,168,528,538
HARTWP-E,109,78,187,189
HARTWP-F,158,44,202,204
HARTWP-G,220,101,321,327
HARTWP-H,223,81,304,309
HARTWP-I,204,68,272,274
HARTWP-J,239,98,337,340
HARTWP-K,218,65,283,286
HARTWP-L,358,181,539,548
HARTWP-M,372,151,523,531
HARTWP-N,198,92,290,295
HARTWP-O,305,158,463,473
HUB 1-A,276,204,480,486
HUB 1-B,407,282,689,697
HUB 1-C,248,155,403,405
HUB 1-D,320,272,592,594
HUB 2-A,307,240,547,555
HUB 2-B,318,278,596,606
HUB 3-A,224,177,401,407
HUB 3-B,209,83,292,298
HUB 3-C,228,148,376,381
HUB 3-D,298,232,530,532
HUB 3-E,236,153,389,393
HUB 4-A,305,189,494,500
HUB 4-B,300,190,490,500
HUB 4-C,320,162,482,485
HUB 4-D,307,183,490,491
HUB 5-A,279,155,434,438
HUB 5-B,290,140,430,434
HUB 5-C,319,158,477,479
HUB 5-D,294,139,433,440
HUB 6-A,245,176,421,424
HUB 6-B,360,255,615,617
HUB 6-C,300,247,547,557
HUB 6-D,241,240,481,483
JAKTWP-A,291,369,660,673
JAKTWP-B,200,271,471,479
JEFTWP-A,358,221,579,589
JEFTWP-B,189,86,275,280
JEFTWP-C,234,198,432,440
JEFTWP-D,317,103,420,425
JNLB-A,167,149,316,321
JNLB-B,224,236,460,468
KT 1-A,309,124,433,434
KT 1-B,240,161,401,404
KT 1-C,355,218,573,579
KT 1-D,346,186,532,533
KT 1-E,300,134,434,438
KT 1-F,308,128,436,441
KT 1-G,326,149,475,482
KT 1-H,408,183,591,603
KT 1-I,287,192,479,482
KT 2-A,365,155,520,526
KT 2-B,279,253,532,537
KT 2-C,317,224,541,549
KT 2-D,366,176,542,546
KT 2-E,341,245,586,590
KT 2-F,280,144,424,431
KT 2-G,431,303,734,739
KT 2-H,350,249,599,606
KT 2-I,252,203,455,459
KT 2-J,246,99,345,345
KT 3-A,339,236,575,582
KT 3-B,354,236,590,593
KT 3-C,289,315,604,609
KT 3-D,327,123,450,454
KT 3-E,328,246,574,580
KT 3-F,296,158,454,457
KT 3-G,290,195,485,489
KT 3-H,367,177,544,554
KT 3-I,282,259,541,547
KT 3-J,300,231,531,537
KT 3-K,324,344,668,680
KT 4-A,473,241,714,720
KT 4-B,510,162,672,680
KT 4-C,253,161,414,419
KT 4-D,362,212,574,581
KT 4-E,332,207,539,542
KT 4-F,365,231,596,602
KT 4-G,417,383,800,806
KT 4-H,282,127,409,411
KT 4-I,381,228,609,614
KT 4-J,291,218,509,520
KT 4-K,423,166,589,595
MBG 1-A,321,305,626,639
MBG 1-B,321,212,533,539
MBG 1-C,364,173,537,546
MBG 2-A,254,134,388,392
MBG 2-B,292,164,456,467
MBG 2-C,338,220,558,566
MBG 3-A,184,179,363,376
MBG 3-B,313,251,564,574
MBG 3-C,177,213,390,402
MBG 3-D,306,250,556,571
MBG 4-A,242,261,503,508
MBG 4-B,213,257,470,476
MBG 4-C,220,187,407,412
MBG 4-D,305,432,737,751
MIATWP-A,262,224,486,498
MIATWP-B,245,149,394,399
MIATWP-C,270,195,465,469
MIATWP-D,226,174,400,401
MIATWP-E,339,383,722,737
MIATWP-F,284,163,447,457
MIATWP-G,275,119,394,399
MIATWP-H,281,130,411,414
MIATWP-I,167,85,252,256
MIATWP-J,207,199,406,407
MIATWP-K,331,283,614,621
MIATWP-L,240,169,409,413
MIATWP-M,250,181,431,438
MIATWP-N,257,275,532,540
MIATWP-O,289,246,535,540
MIATWP-P,202,65,267,269
MIATWP-Q,320,144,464,468
MIATWP-R,154,93,247,251
MIATWP-S,241,224,465,470
MIATWP-T,230,153,383,388
MIATWP-U,242,118,360,363
MIATWP-V,246,128,374,375
MOR 1-A,162,81,243,243
MOR 2-A,321,190,511,517
MOR 3-A,204,94,298,299
MOR 4-A,181,79,260,263
MOR 4-B,144,53,197,199
OAK-A,423,209,632,643
OAK-B,355,285,640,648
OAK-C,351,159,510,522
OAK-D,362,174,536,546
OAK-E,394,188,582,589
OAK-F,413,266,679,685
OAK-G,330,220,550,563
OAK-H,240,203,443,446
PERTWP-A,136,254,390,396
PERTWP-B,193,264,457,463
PERTWP-C,222,271,493,499
PHBG,109,66,175,178
PM,127,72,199,201
PNLB,170,137,307,314
RV-A,252,229,481,485
RV-B,152,130,282,291
RV-C,285,105,390,393
RV-D,288,166,454,462
RV-E,214,108,322,324
RV-F,221,150,371,373
RV-G,207,136,343,346
RV-H,137,37,174,174
RV-I,179,120,299,299
RV-J,187,143,330,334
RV-K,256,227,483,487
RV-L,134,93,227,227
RV-M,219,187,406,409
RV-N,173,82,255,257
RV-O,247,174,421,427
RV-P,297,172,469,472
TR 1-A,304,176,480,490
TR 1-B,181,106,287,290
TR 1-C,233,136,369,379
TR 1-D,197,67,264,270
TR 1-E,335,148,483,493
TR 2-A,262,101,363,367
TR 2-B,295,98,393,409
TR 2-C,191,93,284,288
TR 2-D,168,127,295,297
TR 2-E,229,100,329,333
TR 3-A,205,87,292,293
TR 3-B,203,173,376,376
TR 3-C,160,95,255,256
TR 3-D,289,133,422,433
TR 4-A,296,139,435,444
TR 4-B,233,63,296,301
TR 4-C,158,60,218,219
TR 4-D,206,105,311,316
UN-A,193,107,300,305
UN-B,280,219,499,502
UN-C,257,254,511,520
UN-D,303,284,587,590
UN-E,332,217,549,553
VD-A,267,174,441,444
VD-B,172,119,291,295
VD-C,317,234,551,554
VD-D,256,239,495,500
VD-E,208,165,373,375
VD-F,333,303,636,648
VD-G,244,252,496,505
VD-H,301,358,659,667
VD-I,263,254,517,526
VD-J,302,350,652,660
VD-K,337,246,583,589
WASTWP-A,291,303,594,597
WASTWP-B,368,367,735,743
WASTWP-C,336,340,676,685
WASTWP-D,275,225,500,508
WASTWP-E,356,364,720,725
WASTWP-F,223,208,431,438
WASTWP-G,397,346,743,753
WASTWP-H,295,335,630,634
WASTWP-I,282,162,444,449
WASTWP-J,322,245,567,574
WASTWP-K,319,242,561,568
WASTWP-L,291,201,492,499
WASTWP-M,299,378,677,690
WASTWP-N,364,193,557,568
WASTWP-O,223,327,550,559
WASTWP-P,322,323,645,654
WASTWP-Q,366,266,632,638
WASTWP-R,259,232,491,500
WASTWP-S,233,291,524,531
WASTWP-T,301,230,531,538
WASTWP-U,316,347,663,667
WASTWP-V,316,295,611,617
WASTWP-W,220,166,386,390
WASTWP-X,245,273,518,526
WASTWP-Y,359,322,681,693
WASTWP-Z,334,256,590,598
WASTWP-AA,288,326,614,622
WASTWP-BB,235,177,412,416
WASTWP-CC,415,338,753,761
WCR-A,304,122,426,427
WCR-B,277,198,475,476
WCR-C,272,200,472,477
WCR-D,299,205,504,509
WCR-E,193,74,267,271
WCR-F,214,107,321,323
WCR-G,278,193,471,473
WCR-H,278,137,415,416
WCR-I,195,47,242,246
