Precinct,Bonnie Gunckel Koogle,Jeffrey Frank Jones,Rick Reed,Total Votes Cast,Contest Total
GTN-A,333,232,281,846,1776
GTN-B,223,181,212,616,1332
GTN-C,341,266,294,901,1740
GTN-D,268,184,240,692,1533
