Precinct,Angie Fryman,Jill Tomlin,Total Votes Cast,Contest Total
WCR-A,196,192,388,854
WCR-B,225,202,427,952
WCR-C,249,214,463,954
WCR-D,251,228,479,1018
WCR-E,149,114,263,542
WCR-F,178,136,314,646
WCR-G,255,203,458,946
WCR-H,173,162,335,832
WCR-I,112,103,215,492
