Precinct,Missy Pruszynski,Total Votes Cast,Contest Total
BTLTWP-A,359,359,574
BTLTWP-B,352,352,547
BTLTWP-C,453,453,670
BTLTWP-D,425,425,626
BTLTWP-E,312,312,464
BTLTWP-F,381,381,529
BTLTWP-G,217,217,322
UN-C,2,2,4
