Precinct,Blaine Heeter,Warner L. Boyd,Total Votes Cast,Contest Total
BRK-D,171,244,415,528
PERTWP-A,155,177,332,396
PERTWP-B,212,166,378,463
PERTWP-C,117,277,394,499
PNLB,97,137,234,314
