Precinct,Timothy L. Back,Gale Joy,Melissa Sexton,Write-in Totals,Write-in: Not Assigned,Total Votes Cast,Contest Total
JNLB-A,158,110,135,19,19,422,963
JNLB-B,265,178,257,19,19,719,1404
PNLB,154,130,154,11,11,449,942
